brand,model,body,color,year,fuel,kilometers,engine,transmission,price,gov
Hyundai,Accent,Sedan,Black,2007,Benzine,159999,1600 CC,Automatic,140000.0,Giza
Hyundai,Accent,Sedan,Silver,2005,Benzine,199999,1000 - 1300 CC,Manual,78000.0,Qena
Hyundai,Accent,Sedan,Gray,1999,Benzine,159999,1400 - 1500 CC,Manual,70000.0,Giza
Hyundai,Accent,Sedan,Blue- Navy Blue,2009,Benzine,159999,1600 CC,Automatic,150000.0,Cairo
Hyundai,Accent,Sedan,Silver,2000,Benzine,19999,1000 - 1300 CC,Manual,75000.0,Giza
Hyundai,Accent,Sedan,Green,2000,Benzine,200000,1000 - 1300 CC,Manual,57000.0,Cairo
Hyundai,Accent,Sedan,Red,2012,Benzine,99999,1400 - 1500 CC,Automatic,185000.0,Minya
Hyundai,Accent,Sedan,Gold,1999,Benzine,199999,1400 - 1500 CC,Manual,70000.0,Giza
Hyundai,Accent,Sedan,Red,2010,Benzine,119999,1600 CC,Automatic,185000.0,Cairo
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,179999,1000 - 1300 CC,Manual,90000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2005,Benzine,19999,1000 - 1300 CC,Manual,80000.0,Dakahlia
Hyundai,Accent,Sedan,Silver,2015,Benzine,199999,1600 CC,Automatic,200000.0,Alexandria
Hyundai,Accent,Sedan,Gold,2012,Benzine,139999,1600 CC,Automatic,165000.0,Giza
Hyundai,Accent,Sedan,Silver,2017,Benzine,159999,1400 - 1500 CC,Automatic,256000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2001,Benzine,200000,1000 - 1300 CC,Manual,67000.0,Suez
Hyundai,Accent,Sedan,Black,2011,Benzine,119999,1600 CC,Manual,165000.0,Sharqia
Hyundai,Accent,Sedan,Black,2012,Benzine,139999,1600 CC,Automatic,185000.0,Cairo
Hyundai,Accent,Sedan,Black,2010,Benzine,9999,1600 CC,Automatic,175000.0,Sharqia
Hyundai,Accent,Sedan,Gray,1996,Benzine,200000,1600 CC,Manual,75000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2008,Benzine,200000,1400 - 1500 CC,Manual,130000.0,Minya
Hyundai,Accent,Sedan,Red,2020,Benzine,29999,1600 CC,Automatic,320000.0,Cairo
Hyundai,Accent,Sedan,Gold,2005,Benzine,200000,1400 - 1500 CC,Manual,69000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Blue- Navy Blue,2008,Benzine,29999,1600 CC,Manual,98000.0,Alexandria
Hyundai,Accent,Sedan,Other Color,1999,Benzine,119999,1000 - 1300 CC,Manual,82000.0,Minya
Hyundai,Accent,Sedan,Gray,2013,Benzine,179999,1600 CC,Manual,155000.0,Alexandria
Hyundai,Accent,Sedan,Blue- Navy Blue,2005,Benzine,159999,1000 - 1300 CC,Manual,80000.0,Cairo
Hyundai,Accent,Sedan,Green,1999,Benzine,179999,1000 - 1300 CC,Manual,64000.0,Cairo
Hyundai,Accent,Sedan,Gold,2011,Benzine,39999,1600 CC,Automatic,155000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2015,Benzine,89999,1600 CC,Automatic,215000.0,Cairo
Hyundai,Accent,Sedan,Black,2011,Benzine,9999,1400 - 1500 CC,Automatic,160000.0,Beheira
Hyundai,Accent,Sedan,Blue- Navy Blue,2000,Benzine,200000,1400 - 1500 CC,Automatic,82000.0,Alexandria
Hyundai,Accent,Sedan,Other Color,2019,Benzine,69999,1600 CC,Automatic,285000.0,Cairo
Hyundai,Accent,Sedan,Burgundy,2001,Benzine,119999,1400 - 1500 CC,Manual,75000.0,Cairo
Hyundai,Accent,Sedan,Silver,2000,Benzine,199999,1400 - 1500 CC,Manual,65000.0,Giza
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,19999,1000 - 1300 CC,Manual,85000.0,Ismailia
Hyundai,Accent,Sedan,Black,2011,Benzine,19999,1600 CC,Manual,145000.0,Giza
Hyundai,Accent,Sedan,Gold,2013,Benzine,79999,1600 CC,Automatic,200000.0,Alexandria
Hyundai,Accent,Sedan,Burgundy,2000,Benzine,119999,1400 - 1500 CC,Manual,72000.0,Alexandria
Hyundai,Accent,Sedan,Gray,2014,Benzine,200000,1600 CC,Automatic,240000.0,Cairo
Hyundai,Accent,Sedan,Black,2020,Benzine,49999,1600 CC,Automatic,270000.0,Giza
Hyundai,Accent,Sedan,Silver,2016,Benzine,119999,1600 CC,Automatic,225000.0,Cairo
Hyundai,Accent,Sedan,Gold,2000,Benzine,199999,1400 - 1500 CC,Manual,95000.0,Cairo
Hyundai,Accent,Sedan,Gray,1999,Benzine,19999,1000 - 1300 CC,Manual,42000.0,Cairo
Hyundai,Accent,Sedan,Black,2010,Benzine,199999,1600 CC,Manual,155000.0,Cairo
Hyundai,Accent,Sedan,Gray,2012,Benzine,99999,1600 CC,Manual,155000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2022,Benzine,9999,1600 CC,Automatic,305000.0,Suez
Hyundai,Accent,Sedan,Red,2017,Benzine,159999,1600 CC,Automatic,235000.0,Cairo
Hyundai,Accent,Sedan,Black,2011,Benzine,19999,1600 CC,Manual,165000.0,Sharqia
Hyundai,Accent,Sedan,Silver,2007,Benzine,139999,1400 - 1500 CC,Manual,95000.0,Sohag
Hyundai,Accent,Sedan,Gray,2010,Benzine,99999,1400 - 1500 CC,Manual,148000.0,Cairo
Hyundai,Accent,Sedan,Black,2012,Benzine,119999,1600 CC,Manual,159000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2006,Benzine,179999,1000 - 1300 CC,Manual,74000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Red,2012,Benzine,200000,1600 CC,Manual,135000.0,Cairo
Hyundai,Accent,Sedan,Red,1998,Benzine,200000,1400 - 1500 CC,Automatic,55000.0,Alexandria
Hyundai,Accent,Sedan,Silver,2006,Natural Gas,199999,1000 - 1300 CC,Manual,75000.0,Giza
Hyundai,Accent,Sedan,Red,1999,Benzine,200000,1000 - 1300 CC,Manual,58000.0,Giza
Hyundai,Accent,Sedan,Green,2001,Benzine,79999,1400 - 1500 CC,Manual,65000.0,Cairo
Hyundai,Accent,Sedan,Black,2010,Benzine,200000,1400 - 1500 CC,Manual,125000.0,Giza
Hyundai,Accent,Sedan,White,2005,Natural Gas,200000,1400 - 1500 CC,Manual,58000.0,Suez
Hyundai,Accent,Sedan,Burgundy,2007,Benzine,200000,1600 CC,Manual,125000.0,Giza
Hyundai,Accent,Sedan,White,2015,Benzine,9999,1600 CC,Automatic,185000.0,Cairo
Hyundai,Accent,Sedan,Silver,1999,Benzine,200000,1400 - 1500 CC,Automatic,85000.0,Monufia
Hyundai,Accent,Sedan,Black,2012,Benzine,119999,1600 CC,Automatic,160000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,White,1996,Benzine,199999,1000 - 1300 CC,Manual,55000.0,Qalyubia
Hyundai,Accent,Sedan,Blue- Navy Blue,2011,Benzine,200000,1600 CC,Manual,135000.0,Giza
Hyundai,Accent,Sedan,Silver,2011,Benzine,139999,1600 CC,Automatic,175000.0,Beni Suef
Hyundai,Accent,Sedan,Blue- Navy Blue,1998,Benzine,159999,1400 - 1500 CC,Manual,64000.0,Qalyubia
Hyundai,Accent,Sedan,Gray,2019,Benzine,19999,1600 CC,Automatic,250000.0,Cairo
Hyundai,Accent,Sedan,Green,1998,Benzine,199999,1000 - 1300 CC,Manual,83000.0,Asyut
Hyundai,Accent,Sedan,Other Color,2006,Benzine,29999,1000 - 1300 CC,Manual,65000.0,Suez
Hyundai,Accent,Sedan,White,2017,Benzine,179999,1600 CC,Automatic,225000.0,Sharqia
Hyundai,Accent,Sedan,Other Color,2010,Benzine,29999,1600 CC,Manual,145000.0,Alexandria
Hyundai,Accent,Sedan,Gray,2006,Benzine,119999,1000 - 1300 CC,Manual,87000.0,Cairo
Hyundai,Accent,Sedan,Black,2017,Benzine,119999,1400 - 1500 CC,Automatic,227000.0,Alexandria
Hyundai,Accent,Sedan,Burgundy,2012,Benzine,199999,1600 CC,Automatic,175000.0,Cairo
Hyundai,Accent,Sedan,Other Color,1998,Benzine,199999,1400 - 1500 CC,Manual,60000.0,Cairo
Hyundai,Accent,Sedan,White,2000,Benzine,19999,1400 - 1500 CC,Automatic,90000.0,Dakahlia
Hyundai,Accent,Sedan,Red,2011,Benzine,199999,1600 CC,Automatic,150000.0,Monufia
Hyundai,Accent,Sedan,Other Color,2002,Benzine,19999,1400 - 1500 CC,Manual,76000.0,Fayoum
Hyundai,Accent,Sedan,Green,2000,Benzine,19999,1400 - 1500 CC,Manual,85000.0,Monufia
Hyundai,Accent,Sedan,Green,1998,Benzine,29999,1400 - 1500 CC,Manual,69000.0,Ismailia
Hyundai,Accent,Sedan,Red,2000,Benzine,200000,1400 - 1500 CC,Manual,73000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Blue- Navy Blue,2006,Benzine,19999,1400 - 1500 CC,Automatic,77000.0,Kafr al-Sheikh
Hyundai,Accent,Sedan,Red,2000,Benzine,179999,1400 - 1500 CC,Manual,77000.0,Giza
